Position Fix Time,Observation Time,Latitude,Longitude
30-01-2024 16:25:57,30-01-2024 16:01:33,8.7339,69.1566
30-01-2024 17:15:19,30-01-2024 17:01:25,8.7516,69.1464
30-01-2024 18:09:20,30-01-2024 18:01:14,8.7511,69.1483
30-01-2024 20:35:06,30-01-2024 19:01:04,8.7505,69.1492
30-01-2024 23:33:52,30-01-2024 21:00:55,8.7515,69.1471
31-01-2024 00:13:27,31-01-2024 00:01:41,8.7441,69.1501
31-01-2024 01:08:58,31-01-2024 01:01:32,8.742,69.1506
31-01-2024 02:13:50,31-01-2024 02:01:22,8.7397,69.1522
31-01-2024 03:27:57,31-01-2024 03:01:13,8.737,69.1538
31-01-2024 04:19:32,31-01-2024 04:01:03,8.7348,69.1554
31-01-2024 05:11:13,31-01-2024 05:00:58,8.7318,69.156
